Eliminated,AliveSet,Recipient,Votes,ScenarioTotal,Share,Seats
ALP,GRN|IND|LNP,GRN,8974,35486,25.29%,1
ALP,GRN|IND|LNP,IND,18066,35486,50.91%,1
ALP,GRN|IND|LNP,LNP,8446,35486,23.80%,1
ALP,GRN|LNP,GRN,17948,21652,82.89%,2
ALP,GRN|LNP,LNP,3704,21652,17.11%,2
ALP,IND|LNP,IND,36132,49320,73.26%,6
ALP,IND|LNP,LNP,13188,49320,26.74%,6
GRN,ALP|IND,ALP,6096,7977,76.42%,1
GRN,ALP|IND,IND,1881,7977,23.58%,1
GRN,ALP|IND|LNP,ALP,73501,109269,67.27%,11
GRN,ALP|IND|LNP,IND,17432,109269,15.95%,11
GRN,ALP|IND|LNP,LNP,18336,109269,16.78%,11
GRN,ALP|IND|LNP|OTH,ALP,462582,645981,71.61%,9
GRN,ALP|IND|LNP|OTH,IND,25447,645981,3.94%,9
GRN,ALP|IND|LNP|OTH,LNP,136590,645981,21.14%,9
GRN,ALP|IND|LNP|OTH,OTH,21362,645981,3.31%,9
GRN,ALP|LNP,ALP,321856,413242,77.89%,51
GRN,ALP|LNP,LNP,91386,413242,22.11%,51
GRN,ALP|LNP|OTH,ALP,84427,129363,65.26%,17
GRN,ALP|LNP|OTH,LNP,26016,129363,20.11%,17
GRN,ALP|LNP|OTH,OTH,18920,129363,14.63%,17
IND,ALP|GRN|LNP,ALP,12463,52961,23.53%,13
IND,ALP|GRN|LNP,GRN,19079,52961,36.02%,13
IND,ALP|GRN|LNP,LNP,21419,52961,40.44%,13
IND,ALP|GRN|LNP|OTH,ALP,126752,398796,31.78%,53
IND,ALP|GRN|LNP|OTH,GRN,64803,398796,16.25%,53
IND,ALP|GRN|LNP|OTH,LNP,140424,398796,35.21%,53
IND,ALP|GRN|LNP|OTH,OTH,66817,398796,16.75%,53
IND,ALP|LNP,ALP,37993,68896,55.15%,8
IND,ALP|LNP,LNP,30903,68896,44.85%,8
IND,ALP|LNP|OTH,ALP,1490,5256,28.35%,1
IND,ALP|LNP|OTH,LNP,1565,5256,29.78%,1
IND,ALP|LNP|OTH,OTH,2201,5256,41.88%,1
LNP,ALP|GRN,ALP,70681,191046,37.00%,11
LNP,ALP|GRN,GRN,120365,191046,63.00%,11
LNP,ALP|GRN|IND,ALP,1637,5726,28.59%,1
LNP,ALP|GRN|IND,GRN,856,5726,14.95%,1
LNP,ALP|GRN|IND,IND,3233,5726,56.46%,1
LNP,ALP|IND,ALP,6471,8034,80.55%,1
LNP,ALP|IND,IND,1563,8034,19.45%,1
OTH,ALP|GRN|IND|LNP,ALP,229071,891872,25.68%,30
OTH,ALP|GRN|IND|LNP,GRN,202095,891872,22.66%,30
OTH,ALP|GRN|IND|LNP,IND,83747,891872,9.39%,30
OTH,ALP|GRN|IND|LNP,LNP,376959,891872,42.27%,30
OTH,ALP|GRN|LNP,ALP,87702,364049,24.09%,49
OTH,ALP|GRN|LNP,GRN,137614,364049,37.80%,49
OTH,ALP|GRN|LNP,LNP,138733,364049,38.11%,49
OTH,ALP|IND|LNP,ALP,466,4658,10.00%,1
OTH,ALP|IND|LNP,IND,1311,4658,28.15%,1
OTH,ALP|IND|LNP,LNP,2881,4658,61.85%,1
OTH,ALP|LNP,ALP,56262,130876,42.99%,18
OTH,ALP|LNP,LNP,74614,130876,57.01%,18